,host_response_rate,host_acceptance_rate,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
25,100,90,2,2,2,1.0,1,1,1,165,0,40,0,14,94,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,We had a good stay! The apartment was very comfortable and conveniently located. 
28,90,95,1,2,2,1.0,1,1,1,70,0,5,0,22,93,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Super séjour, hôte très accueillante, appartement propre, nous recommandons cette adresse"
29,100,33,2,2,1,1.5,1,1,1,45,0,50,0,1,100,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,"Everything was great, maybe watch out for the landlady though."
37,0,0,2,2,1,1.0,1,1,1,35,0,0,0,2,50,2,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Found this a lovely room in an excellent location, and was very pleased with my stay."
38,100,100,1,1,2,1.0,0,2,1,78,0,75,20,8,93,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,"Victor''s place  well designed. The space is great for one person and is a little tight for two people, but its no problem if you are close with the other person. My favorite snacks and drinks were ready when I arrived as well as plenty of water. Great space for the price and you can''t beat that its a 2 minute walk from the T drop off/ pick up station."
41,89,45,1,1,2,1.0,1,1,1,349,0,150,0,1,83,4,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,"Excellent experience. Seamless, to coin  a phrase. "
42,100,100,1,1,3,1.0,1,1,1,350,0,160,0,1,100,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,Best place I've stayed in using Airbnb. I highly recommend it. It's amazing!
43,0,100,2,1,6,3.0,3,6,1,450,0,150,0,2,100,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Sybil was very accommodating and easy to communicate with.  The house is beautiful and comfortable.  It's a special place to stay and it's location is great--it's so very central to all of the awesomeness of JP.   
45,100,100,6,2,2,2.0,1,1,1,99,0,45,0,65,93,3,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,He was a great and friendly host and recommend staying at his Airbnb whenever in the Boston area
46,100,100,6,2,2,2.0,1,1,1,115,0,50,70,43,98,3,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,Very simple: I'd absolutely come back. Highly recommend everything about this place and Gustavo. Do it.
49,100,100,1,1,7,1.0,2,4,1,265,0,60,0,38,77,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"The location is great! Close to everything you want to see. The appointment is very basic - student-travel style. 
There is no working wi-fi, which was s big problem for us."
53,100,67,1,2,2,1.0,1,1,2,65,95,10,20,22,89,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Very close to airport. Walk about 20 minute .  There is store opposite house. Walk 10 minute to MTR. The room a little small. 
54,100,100,1,3,2,1.0,1,1,2,56,0,0,20,115,95,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,"
Wonderful experience. Such an awesome host! Funny and entertaining as well as kind and helpful. Thanks for an awesome stay! hope to be back soon :)"
57,98,55,1,1,3,1.0,1,1,1,169,0,100,0,1,100,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,"Clean, comfortable, great location.  Great gym in building."
59,100,95,2,2,2,1.0,1,2,1,70,0,25,0,3,100,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,"Lorna was beyond accommodating and considerate.  My trip to Boston was for my son''s college orientation.  I was very anxious (hoping everything went well, also going one step closer to his leaving home), Lorna was so patient and helped keep me focused.  Staying at Lorna''s Garden was like staying with family, in the space and the attention.  I told my husband that we could add Lorna''s Garden to our list of places to stay while our son is attending college there. "
63,100,83,2,2,2,2.0,1,1,1,45,0,0,10,5,96,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,"Staying with Lelia was a pleasure- she made us feel home, even drove us to the metro and gave us tips for our commute around the city. The room is comfy and location is great- close to bus stops and the T. We definitely recommend you staying with her. Lets not forget the amazing coffee she makes in the morning!!!!!"
64,100,100,1,2,2,1.0,1,2,1,45,0,15,0,1,80,2,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"Raheel is great guy and the place is wonderful and clean , the neighbourhood is quiet and his friends in the house are so much friendly ."
66,98,55,1,1,5,2.0,2,2,1,199,0,100,0,2,60,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,"The apartment was great. It was exactly like the photos, the porters in the building were very friendly and helpful. We stayed for 3 weeks and really enjoyed our stay. It is very central and well located for most attractions.
Our flight to Boston was delayed and we arrived at midnight on the 4th of July but I had been sent contact numbers for the porters in the block and they were great, they took us to the apartment it was no trouble. 
I would highly recommend this apartment and Kara and team. "
69,100,98,1,1,2,1.0,1,1,1,127,0,20,5,16,93,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,"This is a great place in a great location. Lots of restaurants and two T stops nearby. The place is EXACTLY as pictured and is very clean. It had everything we needed as well--refrigerator, soap, towels, air-conditioning (it''s mid-August). I''d stay here again on my trip back to Boston! "
70,100,98,1,2,2,1.0,1,1,1,80,0,20,10,11,91,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,Good place to stay for a few days. Room is perfect for 2 people. Bathroom is nice and big. Host was very helpful. Would definitely stay again. 
73,92,100,2,2,2,1.0,1,1,1,75,0,0,50,38,89,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Manuela was very accommodating and it very easy to arrange check-in/check-out. The cat was also very friendly.  :) The room was basic with Wifi which is what I needed. And the location was very convenient with the train station right at the doorstep. 
76,96,68,1,1,6,2.0,3,4,1,389,0,100,0,4,95,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,Very new luxury complex. Apartment was very modern and comfortable. Neighbourhood still under construction - will be vibrant in a few months. Really enjoyed my stay.
77,90,56,1,1,2,1.0,1,1,1,300,0,0,0,2,90,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,Great Location! Lovely neighborhood!
78,100,100,1,1,3,1.0,1,1,1,225,0,0,0,1,0,2,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,The host canceled this reservation 236 days before arrival. This is an automated posting.
79,96,68,1,1,3,1.0,1,2,1,298,0,100,0,5,92,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,"Amazing place and Heskel was a great communicator. The apartment is in a great location, beautiful and spacious. The only down side is the shower/bathroom which could do with an update everything else was brilliant. "
80,0,0,2,2,2,1.0,1,1,2,120,0,0,0,1,100,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"Max is a great host and his house is beautiful. He was very helpful with directions, buses and ideas of what to do/where to go in the city. The room is nice and quiet, and the house is full of art. Max makes amazing bread! The location is perfect if you need to go to Harvard or MIT. "
81,0,0,2,2,1,1.0,1,1,2,50,0,0,0,1,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Apartment was as described, and was well maintained. The stay was very pleasant and comfortable. Jaclyn was amazing and was one f the best hosts I have seen."
86,100,95,3,2,2,1.0,1,1,1,155,0,0,0,100,98,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Awesome house. Awesome couple. Awesome experience overall.
87,100,0,1,2,2,1.0,1,1,1,200,0,0,0,2,100,2,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"The condo was spectacular. Not only very clean, but great views and a very comfortable home. It felt like I was at my own house, not someone else''s. "
90,94,91,1,3,2,1.0,1,1,1,84,0,0,16,10,100,2,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,Great location. Nearby many attractions while being in a quiet area. Shopping to the south at Prudential Center and you can walk near the river and other parks. Kate was a great host.
91,91,94,1,1,2,1.0,1,1,1,229,0,0,0,6,93,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,"Great location for a short stay in Boston, very accessible to public transport, cafes, bars, etc. Rooftop deck access also a huge plus and fantastic views of the skyline which we really enjoyed. Overall very nice place and would recommend to anyone coming through Boston for holiday and sight seeing. "
93,100,100,1,2,2,0.5,1,1,1,25,0,5,5,2,60,2,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,The host canceled this reservation 14 days before arrival. This is an automated posting.
94,100,100,1,1,8,3.0,4,4,1,250,0,15,0,32,79,3,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Andy's place is exactly how it's described and shown on the pictures. Andy was great host and always responded quickly when we had questions. It's a great space for a group.
95,0,0,1,1,3,1.0,2,2,1,200,0,0,0,1,100,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"A nice apartment close to the city. Everything was great, the host was very accommodating and responsive. "
97,0,0,1,2,2,1.0,1,1,1,74,0,0,0,54,94,2,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Very pleasant stay at John's place.
98,100,50,1,2,1,1.0,1,1,1,100,0,0,0,3,73,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,"All good, as described and in a nice area in walking distance from most places. "
100,100,100,1,1,2,1.0,0,2,1,99,0,0,0,174,75,2,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"old place, old building. I did not like at all.
"
101,92,100,1,2,1,1.0,1,1,1,44,0,0,0,34,91,2,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,"David was very helpful, probably more accomodating to this first time traveler than he intended. It is a good place to stay."
106,100,82,1,1,8,4.0,4,4,1,500,300,200,0,88,98,3,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The apartment was fantastic, just as described. It was perfectly situated for the Boston convention centre. Very handy supermarket and well stocked kitchen.
Mary the host was very helpful and accommodating."
107,100,86,1,1,2,1.0,0,1,1,175,0,50,0,127,92,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,"Great location, good price, we loved the rooftop, we would definitely stay there again."
108,100,96,1,1,4,1.0,1,1,1,130,0,20,20,77,87,3,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Jessica was really friendly and explained us many useful things, what we can do in the proximity. We had a comfortable stay, and i can totally recommend it. 
Jessica war sehr freundlich und hat uns sinnvolle Dinge erklärt, die wir in der Umgebung machen können. Wir hatten einen sehr bequemen Aufenthalt, den ich absolut weiterempfehlen kann."
109,86,99,1,1,5,1.0,2,2,1,290,0,0,0,4,87,2,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,The host canceled this reservation 2 days before arrival. This is an automated posting.
111,77,33,1,1,4,1.0,1,1,1,179,0,0,0,4,95,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,Apartment was nice and clean and as expected. Great area. Walkable to everywhere. 
112,100,67,1,2,1,1.0,1,0,1,99,0,0,50,1,100,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,Khaled was a great and attentious host. Would reccomend to anyone.
113,100,57,1,2,1,1.0,1,1,1,110,0,0,0,9,91,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,Bella was a wonderful host; she was incredibly communicative and welcoming and was sure that I had access to all that I needed during my stay with her. The location was super convenient for the early morning start times I had at the nearby hospital where I was briefly working. She was always available for a good conversation or with advice about the city. She even drove me to the airport to catch my flight at the end of the stay--I can't say enough. Would definitely recommend and stay with again.
116,100,42,1,2,4,0.0,1,2,1,100,0,0,0,14,70,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The place was good. Not too far from Boston. The room was pretty good for 4 people and the host was pretty cool. I guess the only bad thing was that the bathroom was outside.
117,0,0,1,2,2,1.5,1,1,1,75,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The reservation was canceled 9 days before arrival. This is an automated posting.
119,0,0,1,2,1,1.0,1,1,1,90,0,0,0,1,100,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,Zicong's place is cozy and neat. The location is great. It is close to everything and the train station is literally at the front door. They are super nice and easy to communicate with. Definitely recommend!
122,98,66,1,1,2,1.0,0,1,1,225,500,75,0,21,80,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Place was fantastic and clean. Small quiet room on a beautiful street about a 10 minute walk to the nearest station. Door codes made getting in a breeze and not having to worry about keys during the trip was a plus. Would definitely stay here again!
124,100,100,1,1,4,1.0,2,2,1,195,250,50,30,35,94,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,Great weekend with friends in Boston.  Great location at the heart of the South End.  I would recommend condo to anyone!
125,100,100,1,2,3,1.0,1,2,1,70,150,15,15,92,95,3,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,Wir waren drei Nächte  bei Victoria und waren super zufrieden das Haus liegt in einer ruhigen Wohnwagen und ist sehr stilvoll eingerichtet man Monte jederzeit die Küche benutzen und früh seinen Kaffee kochen wir würden jederzeit wieder dort übernachten
127,71,98,1,1,2,1.0,0,0,1,199,300,75,10,21,93,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,"El departamento es hermoso, cómodo y ubicado en un barrio muy lindo. Cerca del Metro y del Pridential Center. Muy buena comunicación con el equipo de flatbook. Muy recomendable!
"
129,100,100,2,2,2,1.5,1,1,1,65,100,10,15,125,89,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"LOVELY house. Perfect location. WELL organized. we spent quality time in Hermina''s house. She was not there, however she managed to arrange everything we need. we would definitely stay there next time."
131,100,98,1,2,1,1.0,1,1,2,65,100,10,0,35,87,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,Great place to stay if you are looking for a nights rest. Very accommodating host and really close to the airport for those who've spent a long day of travel.
132,79,88,1,1,2,1.0,1,1,1,198,0,75,0,1,100,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Very gracious and accommodating host. Would stay again. 
133,100,94,2,1,8,1.0,3,4,1,99,300,100,15,70,92,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,The flat was very comfortable and we were very happy staying there. communication was very good and the trip was a huge success. The highlight (for me) was the recommendation to try the Yankee Lobster Eatery down on the waterfront - it was amazing !! Thank you for a lovely stay.
134,100,100,7,1,4,1.0,2,2,1,289,500,100,0,1,100,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,"Had an excellent stay at this apartment. The hosts were fast to respond and told us about a locals cafe around the corner, delish! Would stay again. "
135,90,100,1,1,6,1.0,2,2,1,168,200,120,0,47,94,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,Apartment was perfect for our needs.  It is situated in a quiet neighborhood and an easy walk to the T stop.  Plenty of room for my family of 5.
136,100,100,2,1,10,1.5,3,3,1,225,200,60,15,176,97,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,"Stunning apartment. Wonderful host. 
"
137,100,97,3,2,2,1.0,1,1,1,86,200,20,0,44,100,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,We had a great time in Boston and enjoyed this Airbnb experience.  Liz/Dale were more than accommodating - even allowed us to check-in a few hours earlier than expected.  Liz stopped by to say hi and to make sure that all was well and also checked in again a few days later to see if we needed anything.  Their townhouse was just as described - and was a fantastic place to come back to after long days exploring Boston.  I've stayed in hotel rooms that were 1/2 as nice for twice the price as we paid for this Airbnb!
139,100,100,4,1,3,1.0,1,2,1,150,500,80,15,84,97,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,"The place was great. Clean, convenient and just what we were looking for. Thanks! "
141,80,91,1,1,5,2.0,2,3,1,361,150,70,35,10,88,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,The apartment was very nice and comfortable. Perfect location and Mo was great to deal with. 
142,0,0,1,1,4,1.0,1,2,1,245,1250,125,0,11,100,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,"Loved the place, it was what we expected and more. The location is amazing, walking distance from a lot of great places to visit. It was clean and we found everything we needed. We would definitely recommend our friends and family to stay here! "
143,98,55,1,1,5,2.0,2,2,1,319,0,100,0,1,60,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,"Listing was accurate
Location fantastic"
147,100,97,2,2,2,1.0,1,1,1,77,100,0,15,226,86,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,Convenient location. Clean home! Thank you!
149,100,50,1,1,2,1.0,0,2,1,175,500,0,15,33,93,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,The house was nice. A little further from Boston than we originally thought but we were able to bring a car so it worked out. There are spots for meters a few blocks away. 
151,100,69,5,1,7,3.0,3,3,1,500,500,160,0,6,90,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,"Juan es un excelente anfitrión, el barrio es bueno y el departamento es increíble."
152,100,80,1,2,2,1.0,1,1,1,135,0,45,35,26,96,3,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,My wife and I stayed for a few days for the Boston Marathon and we had a great time! Jema was a wonderful host and her place is very comfortable. She was very welcoming and available in case we needed anything. We would not hesitate to stay here again if we come to Boston again!
155,0,0,1,1,3,2.0,2,2,1,450,500,120,0,1,100,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Very comfortable stay in Boston - was there for 2 nights for work.  The place was as described and would recommend to others.  Harriet was very easy to work with as well.  Thank you.
156,100,67,1,1,2,1.0,0,2,1,165,95,25,0,22,94,3,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,"I was in town to run the Boston marathon and brought my mother along for the trip. The apartment was extremely comfortable and charming. The little touches were the best part, like the chalk board with Welcome to Boston! handwritten on it. Brie was an oustanding host and was really helpful with coordinating for check in and check out time. The location was great. We used North station often to catch the T, which was a very short walk. There are plenty of great restaurants, shops, and bars in the immediate are to check out in the North End, right by the apartment. I would definitely recommend this space for a visit to Boston. It exceeded my expectations"
157,100,98,1,2,3,1.0,1,1,1,64,250,25,15,36,91,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,Natalia was an excellent host with great recommendations in the neighborhood. Her place is conveniently located near the red line which will take you all over boston for a super cheap rate ($2.50 per trip). I would definitely recommend visiting boston and staying with Natalia!
159,100,100,1,2,2,0.5,1,1,1,40,0,50,0,2,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,The host canceled this reservation 15 days before arrival. This is an automated posting.
164,100,51,1,1,2,1.0,0,1,3,80,100,40,20,62,96,3,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Easy place to stay, well located!"
167,100,54,3,1,4,2.5,2,2,1,575,500,125,0,19,99,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Stayed here while visiting family in Boston.  Had a great experience!  Truly a luxurious penthouse with a rooftop deck that had beautiful 360 degree views.  Located in a very quiet neighborhood close to downtown, a very spacious multilevel brownstone.  I would definitely come back!"
168,0,0,1,1,4,1.0,0,2,1,160,0,0,0,2,80,3,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,The host canceled this reservation 9 days before arrival. This is an automated posting.
169,100,100,1,1,2,1.0,1,2,1,189,0,0,0,173,92,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,"Great Host, very helpful. Accurate description of apartment. Location is perfect !"
170,100,77,1,1,3,1.0,1,1,1,250,0,50,50,34,90,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,"Incredible location! Gina made me feel very welcome and was easily reachable for anything I needed. Highly recommended, I would stay here again."
171,100,77,1,1,2,1.0,0,1,1,250,300,75,0,11,96,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,It was one of the best airbnb experience. Location and the studio were perfect. Randy was a very helpful host. I loved this place
172,100,100,1,1,2,1.0,1,1,1,140,200,65,75,1,100,2,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,"This place is your typical boston style apartment. nice and quaint. Very safe neighborhood and using Lyft Line only cost an average of $4-9 to go to anywhere in the city.

Richard was very good at communicating and making recommendations on restaurants and bars. Although I never had the chance to meet him, we did keep in touch the whole trip via text.

Place was really nice with modern updates and furnishings, nice comfortable california king bed.

Recommend this place to anyone looking to explore the city, singles, couples, or business travelers. Convenient to alot of fun stuff."
175,100,88,4,1,3,1.5,1,1,1,350,500,100,0,2,80,2,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,This is an excellent location walkable to many points of interest and close to restaurants and shopping.  The place was very clean and comfortable.  The neighborhood and building was quiet.
176,0,0,5,1,4,2.0,2,3,1,160,300,45,17,1,0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,The reservation was canceled 27 days before arrival. This is an automated posting.
178,100,88,1,2,2,1.0,1,1,1,60,0,10,15,6,100,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,"Extremely nice and welcoming, everything was exactly as described."
180,100,98,2,1,3,1.0,1,2,1,135,0,15,10,68,93,3,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,"JP Green House was fantastic. It was close to the T, had everything we needed, and had a beautiful yard with a table for outside dining. Andree was very helpful and responded quickly whenever we needed something. I would highly recommend this property. "
182,100,100,1,1,4,2.0,2,2,1,129,300,95,0,51,89,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,Perfect location in the North End. The apartment had everything we need. Thanks a lot ! 
184,100,88,1,1,3,1.0,1,1,1,199,0,60,25,59,97,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,"Beautiful place filled with everything you could need. Scott was communicable and incredibly helpful when I had a scheduling conflict. We''ll definitely be back, and hopefully for more than just a weekend!"
