8,"Visible minority refers to whether a person belongs to a visible minority group as defined by the Employment Equity Act and, if so, the visible minority group to which the person belongs. The Employment Equity Act defines visible minorities as ""persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour."" The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Latin American, Arab, Southeast Asian, West Asian, Korean and Japanese. For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
9,"For example, ""East Indian,"" ""Pakistani,"" ""Sri Lankan,"" et cetera.",,,,
10,"For example, ""Vietnamese,"" ""Cambodian,"" ""Laotian,"" ""Thai,"" et cetera.",,,,
11,"For example, ""Afghan,"" ""Iranian,"" et cetera.",,,,
12,"Includes persons with a write-in response such as ""Guyanese,"" ""West Indian,"" ""Tibetan,"" ""Polynesian,"" ""Pacific Islander,"" et cetera.",,,,
13,"Includes persons who gave more than one visible minority group by checking two or more mark-in responses, for example, ""Black"" and ""South Asian.""",,,,
14,"Includes persons who reported ""Yes"" to the Aboriginal group question (Question 18), as well as persons who were not considered to be members of a visible minority group.",,,,
15,"""Aboriginal identity"" refers to whether the person identified with the Aboriginal peoples of Canada. This includes those who are First Nations (North American Indian), Métis or Inuk (Inuit) and/or those who are Registered or Treaty Indians (that is, registered under the Indian Act of Canada), and/or those who have membership in a First Nation or Indian band. Aboriginal peoples of Canada are defined in the Constitution Act, 1982, Section 35 (2) as including the Indian, Inuit and Métis peoples of Canada.",,,,
16,"Users should be aware that the estimates associated with this variable are more affected than most by the incomplete enumeration of certain Indian reserves and Indian settlements in the 2016 Census of Population. For more information on Aboriginal variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, refer to the Aboriginal Peoples Reference Guide, Census of Population, 2016.",,,,
17,"""Single Aboriginal responses"" includes persons who are in only one Aboriginal group, that is First Nations (North American Indian), Métis or Inuk (Inuit).",,,,
18,"""Multiple Aboriginal responses"" includes persons who are any two or all three of the following: First Nations (North American Indian), Métis or Inuk (Inuit).",,,,
19,"""Aboriginal responses not included elsewhere"" includes persons who are not First Nations (North American Indian), Métis or Inuk (Inuit), but who have Registered or Treaty Indian status and/or Membership in a First Nation or Indian band.",,,,
20,"""Secondary (high) school diploma or equivalency certificate"" includes only people who have this as their highest educational qualification. It excludes persons with a postsecondary certificate, diploma or degree.",,,,
,,,,,
"How to cite: Statistics Canada. Table 37-10-0171-01 Postsecondary qualification holders aged 25 years and over by highest certificate, diploma or degree, STEM and BHASE (non-STEM) groupings for major field of study, sex and selected demographic characteristics",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710017101,,,,,
DOI: https://doi.org/10.25318/3710017101-eng,,,,,
